;Originial parameter value;New parameter value;Originial M value;New M value;Sensitivity parameter
KdN;2.5e-06;3.7500000000000005e-06;180288757180.0557;3561059583875.727;37.503956204204904
EM;1e-05;1.5000000000000002e-05;180288757180.0557;7652693718874.035;82.89374311046177
KdA;5.333398476187408e-07;8.000097714281111e-07;180288757180.0557;3225710109299.6333;33.783818799949834
KdB;1.5313939532188767e-08;2.297090929828315e-08;180288757180.0557;1198175471752.7192;11.291738103847404
