;Kd2;Alpha
998;0.00028687629592316513;1040.126107747964
999;0.0006290358366207726;2155.193089513775
1000;0.0005105171248819208;1780.6698578222015
1001;0.0010735273095564242;3679.408761486887
1002;0.0007327319154490494;2605.595962667499
1003;0.00047219180963506874;1643.1201070443446
1004;0.0004688902051192773;1606.2745362970736
1005;0.0006689565207708918;2131.4987534293214
1006;0.00040978286652580226;1399.0283378068223
1007;0.00029313242815411344;1019.5571013804563
1008;0.0002666273215829508;908.2274363503826
1009;0.00038379152476017187;1351.9312050203384
1010;0.000450261662405858;1643.9500426943944
1011;0.000352351887314149;1082.0346791533996
1012;0.00023824760823484847;861.5369848668496
1013;0.0006852459840564901;2323.7448004122584
1014;0.0002533109529803655;854.8751733225477
1015;0.00032968385607937074;1166.4674054478066
1016;0.00023925698844284193;853.9752517308708
1017;0.0008019358385417138;2795.074583021806
1018;0.0004339774199876764;1462.4354496662174
1019;0.00020443599488397272;772.1099692077847
1020;0.0005726333427323651;1874.419179200908
1021;0.00025703221301814124;938.9426185033218
1022;0.0010081591383293577;2928.466353533775
1023;0.00040604977920925524;1424.2022140113997
1024;0.0003168435200369038;1168.5447246551473
1025;0.0005084525667985673;1599.4170184950667
1026;0.0003803995954308017;1298.4907854256223
1027;0.0003353179936552181;1058.194798884528
1028;0.000472343462641189;1526.986270011094
1029;0.00036880022480291177;1176.6283305859638
1030;0.00033721652444576643;1220.223331192666
1031;0.0002908261026645705;1012.8906536373092
1032;0.00037946476463704854;1337.0036319779795
1033;0.0004496928381095449;1438.2802325457062
1034;0.0003538228517644913;1205.5412310989407
1035;0.0003468493568236848;1135.9061266660046
1036;0.0005918940320938359;1981.247645475601
1037;0.0003631661436622277;1278.2361879134887
1038;0.0005328647683542146;1933.478553352935
1039;0.0003213616127553412;1179.477990008163
1040;0.00040417946198000824;1426.0783740195143
1041;0.0004922861218114517;1749.9265674065039
1042;0.0003422396764588395;1235.7164240527788
1043;0.0007648513912891869;2636.7806259906006
1044;0.000903153452505984;3111.3301896134767
1045;0.0007120448573062058;2348.9121500068304
1046;0.00027901706497604435;1032.5366777462134
1047;0.0005270185723654155;1767.3959579619225
1048;0.000505712279517598;1647.0042415289242
1049;0.0005308797738591965;1680.550548834219
1050;0.000604791118218048;1993.1175126519238
1051;0.00031312544174082657;1174.121573557371
1052;0.00040855831490009683;1450.2675013023334
1053;0.00021881368295293614;749.2210819903337
1054;0.0005892535602093112;2035.810065042365
1055;0.0009155677969795567;2941.5538599443457
1056;0.00039056696536332526;1345.1992732499289
1057;0.00025201397446090253;949.1127934973479
1058;0.00034151432262620235;1158.3438447101798
1059;0.00040317372594020275;1375.9089179710672
1060;0.0002309338562676731;853.2474121177898
1061;0.00029614455773955325;1079.718622922004
1062;0.0001727401198663628;643.4878005047129
1063;0.00029211875369275286;1069.0248808322174
1064;0.000368591502859356;1209.6622698629997
1065;0.00032738715007426595;1111.8657848795904
1066;0.0005160170668691139;1881.9141139019434
1067;0.000251608108350423;917.8283264430357
1068;0.0007555303253354628;2551.628818652806
1069;0.0003880353797360438;1250.8764587784133
1070;0.00033024767805097467;1119.2811192421455
1071;0.010124578177762907;34560.551806357726
1072;0.029075643974960635;92265.20810449176
1073;0.0002667307378425679;1058.5617336810928
1074;0.029693203083491607;92945.51231472714
1075;0.00030369315154742;1002.9617938303815
1076;0.0002774157831890801;990.5853440102435
1077;0.00047992171547246346;1677.602478487808
1078;0.000468587999594192;1576.675415259844
1079;0.00043289688116204404;1396.8285262966058
1080;0.00023046532911190698;846.2630729819348
1081;0.0014534358813091818;4452.188587822338
1082;0.00039667174588409594;1356.9693027499914
1083;0.0036850094855888503;11981.036435323485
1084;0.00031864477285434056;1094.346170437126
1085;0.00048870107896529;1721.7138226393226
1086;0.00028637943343742567;1091.1701475242046
1087;0.0002748580892885765;949.9067120564998
1088;0.0005034403166619159;1770.8231241723402
1089;0.0005938948547989841;1824.262367185707
1090;0.0004637463220529647;1631.423421815258
1091;0.0003795691052517522;1360.5387968560626
1092;0.0002738864687945412;916.8452503202703
1093;0.0009574024192467592;2880.7377823072597
1094;0.0004836906404388502;1624.682105077625
1095;0.00018448186746622538;620.10700009378
1096;0.021879674306705416;66549.28081146887
1097;0.0003835107323591522;1247.434084321868
1098;0.00032152081510431336;1103.303931768207
1099;0.0004078592174230661;1448.0897235740322
1100;0.00041191377270234614;1459.5065460436642
1101;0.0004032767951796988;1513.034711678113
1102;0.000320236818205796;1059.8359931988866
1103;0.00025355692522256365;928.5356274036149
1104;0.0005964422389029326;1969.826066521665
1105;0.005466493273459924;16185.252463525749
1106;0.1849300352510079;630421.184845886
1107;0.025477180086964382;78585.31669079707
1108;0.0006220753613136313;1994.680593733533
1109;0.0007881054946780796;2435.303737059591
1110;0.0005029977027454641;1626.4953013294387
1111;0.0004181005461728098;1535.2604885581688
1112;0.0002149804740394323;715.9423531615122
1113;0.0010241621380380874;3504.9491357796833
1114;0.000305509124152093;1170.8669150051337
1115;0.00023757697147559396;782.1255530187686
1116;0.00044223823967019045;1504.29326047781
1117;0.0006115774995003458;2065.3851249725767
1118;0.0003991205417170106;1299.9496244743136
1119;0.00028651347258159117;935.0646852736824
1120;0.0005582681144198916;1959.0118997900813
1121;0.00016034474859917246;637.2127743639235
1122;0.005899001234711423;19574.123955748582
1123;0.0002857793089109887;919.1678831672326
1124;0.002170852465918268;6961.474119370108
1125;0.00039517394698586507;1414.4429606122792
1126;0.0002948442883250909;1124.0457549302666
1127;0.0007422054190702117;2402.394783849688
1128;0.0004758026172044975;1562.7992774718773
1129;0.00019511848552303414;803.3207586078069
1130;0.00045764817462060997;1596.8033787916027
1131;0.00026391802204001513;944.196242227194
1132;0.00036115354564321563;1178.5521852442344
1133;0.0007721486851710133;2577.5382361598963
1134;0.12648574927957826;398750.8572714845
1135;0.0002868188762081029;999.3786382625731
1136;0.0003163276529304231;1142.0860085116806
1137;0.0007095500423920287;2434.62165340081
1138;0.0007536866280877852;2676.5501864988023
1139;0.0004952307067033287;1594.7418886665089
1140;0.0005071099395007261;1700.7163456532992
1141;0.00030039535863309887;1052.1082119540408
1142;0.00028494695545216704;1027.5595861795052
1143;0.0002901253523970301;957.8696426472519
1144;0.00018785141534287498;707.1420085054294
1145;0.0004967508659418396;1760.4321064697706
1146;0.00026850054170336844;986.9997137805652
