;ppi_1;ppi_2;ppi_3;ppi_6;ppi_12;ppi_24;ppi_49;ppi_98;ppi_195;ppi_391;ppi_781;ppi_1563;ppi_3125;ppi_6250;ppi_12500;ppi_25000;ppi_50000;ppi_100000;ppi_200000
1.06e-10;21.002514905616135;21.33588309188038;22.002540830748497;22.002539975449928;22.669275796187524;21.33605464262791;21.002946214419573;21.33668994473653;21.337521128362845;22.006003844391866;22.009679193999865;23.350307324474453;22.69810256079262;22.72490406250111;22.772608574840728;22.18970927742189;21.977694550502996;22.457520324486808;24.58829207690444
1.2364758591121252e-10;21.00293359108622;21.336307579675676;22.002963832184165;22.00296283435706;22.669710167686397;21.336507689385794;21.003436702332564;21.337248752927337;21.338218304780657;22.007003333077545;22.011290471759676;23.35313273471854;22.703334457281997;22.734593927050327;22.790227742174963;22.22123891470424;22.0293492577293;22.53346453641039;24.685932057068264
1.4423325944972365e-10;21.003421977497556;21.3368027343416;22.00345725303131;22.00345608889869;22.670216851282422;21.33703615699789;21.004008843633667;21.33790058699329;21.339031538936048;22.00816919757646;22.013169941246126;23.356428345927107;22.709436759982115;22.745894903555982;22.810773511434938;22.257998216345744;22.089557955901995;22.621970728843518;24.799718530196845
1.6824617301003716e-10;21.003991667466476;21.33738031927985;22.004032815492955;22.00403145730203;22.67080788418521;21.33765260008731;21.00467623024833;21.338660931531958;21.33998014826494;22.00952912796653;22.015362229535157;23.3602723710062;22.716554151106003;22.759074456394384;22.834730690957482;22.30085080079474;22.15972828870692;22.725100884591694;24.932300238269058
1.9625691633482387e-10;21.004656194691243;21.338054055732226;22.004704192753174;22.0047026081072;22.671497306993633;21.338371662753687;21.005454716155977;21.339547848048827;21.341086664629177;22.011115421009407;22.017919385125527;23.36475601929236;22.724855318079097;22.774444304016324;22.862663928639382;22.350801535102274;22.24149633729347;22.845249700676174;25.086752666806024
2.2893107474697945e-10;21.005431345235493;21.338839948515158;22.005487333569683;22.005485484646318;22.67230149700067;21.339210426190427;21.00636279369607;21.340582403591892;21.342377368873628;22.012965745895855;22.02090211048222;23.36998565128517;22.73453692039841;22.792367687693787;22.895230690226104;22.409019143888713;22.336762534715582;22.98519618485929;25.26664394993229
2.670450446464483e-10;21.006335532223105;21.339756665905416;22.00640084082749;22.006398683463996;22.673239556904974;21.340188814084502;21.00742203241735;21.34178917060893;21.343882914162762;22.015124037042767;22.024381198691987;23.376085288872794;22.745828206241168;22.813267814887993;22.93319628596518;22.476862258956178;22.447732805715585;23.148162484866642;25.476109889591125
3.115044820762769e-10;21.0073902328089;21.340825982663908;22.007466413008856;22.007463895630803;22.67433376812366;21.341330065385876;21.008657590844514;21.343196809834804;21.345639052799264;22.017641534937532;22.028439207820334;23.38319953906925;22.75899638316251;22.837637660081523;22.97745124664452;22.55590936787473;22.576965535601236;23.33788067192163;25.719938934653
3.6336582272881394e-10;21.008620497754908;21.342073296670378;22.008709359015455;22.008706421381476;22.675610119420135;21.342661285618078;21.010098813249883;21.344838749964143;21.347687483646517;22.02057799946471;22.033172412010455;23.391496998522566;22.774352863219203;22.866051331828857;23.02903138602375;22.647993156141794;22.72742497983237;23.55866815061694;26.00366786377285
4.2386138474584445e-10;21.010055545648154;21.3435282313713;22.01015919850199;22.010155770231783;22.677098923330046;21.344214089745172;21.01177992551086;21.346753980129584;21.350076840089173;22.024003124141043;22.03869307467199;23.401174216681593;22.792260521028094;22.899177243405855;23.089140923725793;22.755239766118482;22.90254170366221;23.815512250759323;26.333688709771614
4.944286508000698e-10;21.011729455781005;21.345225338255837;22.011850361885813;22.011846360732694;22.67883553492632;21.346025351755262;21.01374084645305;21.348987973840227;21.35286384173271;22.027998184313446;22.045132096396703;23.41246030770394;22.81314212380178;22.937793355672273;23.159179079290652;22.880113511084694;23.106280573565112;24.114164343059066;26.717367104546057
5.767444252525153e-10;21.013681976023733;21.34720491591533;22.013823006529528;22.013818336351086;22.680861189857715;21.34813807861504;21.016028133774068;21.35159376609453;21.356114636834402;22.032657957735594;22.052642098646803;23.42562231513631;22.83749011546;22.982804794291027;23.240770582014616;23.025467576274796;23.34321668848511;24.461243467808803;27.163171645052994
6.727646780209754e-10;21.015959464703386;21.349513964962817;22.016123968304598;22.01611851667621;22.683223981377353;21.35060242914825;21.018696086774863;21.35463320893547;21.359906366856027;22.038092962142233;22.0614010139434;23.44097144929474;22.865877962598137;23.03526417865434;23.335800569026027;23.194601199394203;23.618619411272103;24.864348918128396;27.680812990723947
7.847710219210182e-10;21.018615988621033;21.35220730125044;22.018807870894154;22.01880150629878;22.685979999309453;21.35347690175804;21.021808031761257;21.358178434838255;21.364328989623175;22.04443206160596;22.07161626440372;23.458870335308916;22.898973298417843;23.096395035700223;23.44645436092761;23.391323735561112;23.93854430208337;25.33218040276539;28.2813900757369
9.154249278642387e-10;21.021714602960607;21.355348853492973;22.021938418850162;22.021930987364478;22.68919465765395;21.356829718820162;21.025437820196615;21.362313562099644;21.36948740347258;22.051825501728086;22.08352962321431;23.47974143014697;22.93755313155975;23.167618706596894;23.575262603438237;23.620025855372372;24.30993221787763;25.874663231365055;28.977538888334827
1.0678309661637657e-09;21.02532884304245;21.3590131756638;22.025589904662763;22.025581226042963;22.692944241879985;21.360740440105214;21.029671574575328;21.367136681930916;21.375503921582546;22.060448443228367;22.097422868170124;23.504076789750705;22.98252141978149;23.25058518551975;23.72515223537227;23.885757872874123;24.740714063879125;26.503074294077734;29.783576513088974
1.245610576673472e-09;21.02954446274355;21.363287209464637;22.02984896501659;22.0298388280662;22.69731771200119;21.365301842836654;21.03460972264665;21.372762173355177;21.382521153543102;22.070505074424208;22.113624352943063;23.53244939276905;23.03492934293833;23.347208353781753;23.899503675219417;24.1943148177335;25.23991858730215;27.230162294428176;30.715629266903882
1.452988120671211e-09;21.034461460042454;21.3682723378838;22.03481662710113;22.03480478417768;22.702418803361148;21.370622112064094;21.040369367162633;21.379323399397457;21.390705360274733;22.082233395599086;22.132516640448614;23.565526255266082;23.09599864464763;23.45970608419176;24.102214493472417;24.552327308672027;25.81777909797851;28.07025255717108;31.791728434140655
1.6948912592326894e-09;21.04019643666391;21.37408677746356;22.040610692423442;22.0405968529081;22.708368473802107;21.376827392047428;21.04708704587822;21.38697584657092;21.400250358804044;22.095910782533785;22.15454536371157;23.604083601034038;23.167148445622914;23.59064568244031;24.337769633321543;24.96735649871404;26.485832977839216;29.039322567893546;33.03184991055822
1.977068043265448e-09;21.046885346321602;21.38086836452264;22.04736851316846;22.047352335682103;22.71530775367312;21.384064757440143;21.05492194523632;21.395900779455093;21.411382065319447;22.11186045269316;22.180229503102137;23.64902438436864;23.250025961361594;23.742995094603316;24.611317929596552;25.447990281975933;27.257005186398438;30.155029006338864;34.457864572552104
2.3062234974714877e-09;21.054686694726563;21.3887777993668;22.055250224905436;22.055231308002668;22.72340106409756;21.392505672374853;21.064059641179433;21.40630949339538;21.424363778530466;22.13045897589712;22.210173294756892;23.701398495645904;23.346541578902375;23.92018022913175;24.928754218643686;26.003936502539265;28.145663573688292;31.436660259460474;36.09335405818291
2.690178943717578e-09;21.06378526449678;21.3980024226226;22.064442509502324;22.064420380508952;22.73284007922047;21.40235001625149;21.0747164520062;21.418448261199206;21.439502320827803;22.15214499190378;22.24508001332656;23.762426013590087;23.45890875640895;24.126148600264717;25.296805685765584;26.646107010018447;29.16762960051691;32.90498023656223;37.963231855067676
3.138057849621271e-09;21.074396449534397;21.40876060941423;22.075162973649103;22.07513707522373;22.74384821996006;21.413830767276714;21.08714450131117;21.432604084340753;21.457155172242647;22.177429320295623;22.28576790263302;23.833523899910983;23.589689197991767;24.365439274692836;25.72312020940089;27.386683990764062;30.340123045299308;34.58192006160755;40.093092865943575
3.6605026184471847e-09;21.086771296504978;21.421306880345192;22.087665241580062;22.087634915471572;22.75668588026977;21.42721944878014;21.101637603987555;21.449111375786448;21.477738751895423;22.20690667340579;22.333188559829566;23.91633655929027;23.74184371436936;24.643258765295613;26.216353273227398;28.239157018431364;31.681613613882682;36.490064772376776;42.508198228496724
4.269927471628938e-09;21.101202365935933;21.435937843327007;22.102244875603496;22.102209342934707;22.77165650225613;21.442832459215502;21.11853810520905;21.46835972028267;21.501738023604855;22.241269210649257;22.388448111313473;24.012770706585346;23.918789094190494;24.96556202863315;26.786248467057995;29.218315715809254;33.21154650851066;38.65187438717287;45.23199116338322
4.980813432857419e-09;21.1180305423232;21.452999097390233;22.119246255068322;22.11920459229264;22.789113633863547;21.46103842471169;21.138244821397915;21.490802878918267;21.529717626637783;22.281322202241522;22.45283155046785;24.125034988060484;24.124461163312002;25.33913704298727;27.44370462835943;30.34017890269636;34.94990384213204;41.08857601782899;48.28404366315165
5.8100524230845295e-09;21.137652941654956;21.47289324888005;22.139070563580137;22.13902167301833;22.80946912238322;21.482266733213088;21.16122225356021;21.516969228093693;21.56233475914195;22.328002101333674;22.52783063609104;24.255684786804895;24.36338397709604;25.7716905207926;28.20082025149883;31.621836887902518;36.916560841690185;43.81867165749778;51.677369095917655
6.777348642754661e-09;21.16053208605361;21.496089212003486;22.162185055746157;22.16212762929596;22.833202618880772;21.50701743174485;21.188011267072095;21.54747384862913;21.60035407037316;22.382397355114566;22.615175772866436;24.407672593886108;24.640744744841232;26.271931088555448;29.07090291653586;33.08117966486118;39.13039746709036;46.856032885795415;55.41512566094887
7.905686778823125e-09;21.187206538866484;21.523132989622024;22.189133798541224;22.189066272745197;22.86087259281806;21.53587269315859;21.21924145804053;21.583032508508463;21.644664847909112;22.445772315931574;22.716872306824897;24.584404232389396;24.962473590071653;26.849644694844972;30.068428244658847;34.73648106378673;41.60813576481553;50.20760897738927;59.486906618044564
9.221878161996896e-09;21.218303219478393;21.554660156444736;22.2205501085162;22.22047060861611;22.893129082580693;21.56951008580059;21.25564545449633;21.624477812284088;21.696300816784003;22.5195946407107;22.83524166303801;24.789801063209158;25.335326563020736;27.51575503881475;31.208929477641227;36.605808731170605;44.362895194979295;53.870868040667496;63.865080244869425
1.0757197851870261e-08;21.25455164516402;21.591410295155416;22.257170934293327;22.257077204207704;22.9307284361428;21.608717908555906;21.29807543055817;21.67277782079194;21.756462897526248;22.605566587644123;22.972967720981366;25.02836805605335;25.766969393812698;28.28235942985897;32.5087955922777;38.706233996855445;47.40249664328288;57.83122426726733;68.50197776249486
1.2548127788236236e-08;21.296800377112614;21.63424366616158;22.299853463770393;22.299742777962205;22.97455032615649;21.654412884166746;21.34752214257107;21.72905747543381;21.82654529738936;22.705660628619064;23.13314875334268;25.305267247443872;26.26605825490462;29.16272772489947;33.98495353864081;41.0528265470754;50.727603604781095;62.05986339474873;73.32901804285834
1.4637223667177509e-08;21.34603597852534;21.684160422748597;22.34959426634195;22.349463318307453;23.025617354605448;21.707660534637363;21.405136826910354;21.794623190161147;21.908165330641175;22.822159787743423;23.319355130982096;25.626395593974603;26.84231224008238;30.171248958565734;35.65440968979719;43.65743879063081;54.329864384780656;66.51251942874242;78.25888637103712
1.7074126140461953e-08;21.403404823330956;21.74232271436051;22.407551311145617;22.407396071596903;23.085117592458836;21.769698592473663;21.472256327839766;21.870990998902155;22.003197375358898;22.95770308179591;23.53569280016616;25.998465521849255;27.50657032778993;31.32330722686735;37.53362821116859;46.527315788476294;58.19030211312476;71.12980210113923;83.1914020061227
1.9916740366147665e-08;21.470238122734532;21.810080049619597;22.475069230955903;22.474884766583862;23.15443042754236;21.841963828263317;21.550431847852987;21.959918662856563;22.113811369830476;23.115336365724925;23.78687224261148;26.429085525859882;28.27082327023276;32.63506573274184;39.637731391934196;49.66360881491619;62.278268454950236;75.83953654584302;88.02264499587534
2.323261193862794e-08;21.548080560879573;21.88899831486376;22.553708225198225;22.553488466014322;23.23515611620241;21.926122695486065;21.641461728481964;22.063442145698932;22.242516223267195;23.298568759959196;24.078282202816528;26.926836933761987;29.148208180187908;34.12313631464105;41.97952071048465;53.05992094373954;66.55129972971812;80.56120358218213;92.65560829280885
2.7100531892673308e-08;21.638722946554033;21.980892859539775;22.64527701075497;22.645014450201298;23.329149447134185;22.024106202920255;21.747428671247487;22.183916848193274;22.39220845218042;23.51143463629342;24.41606687299376;27.501341381171336;30.15295070393179;35.80411219502287;44.568338879380946;56.70106353461165;70.95615552078155;85.21201789116814;97.00981156981732
3.161240891923475e-08;21.7442392897623;22.0878660613052;22.751870230342742;22.751555537348814;23.438557923191937;22.138149417280705;21.870741788865164;22.324063947428915;22.566226241070137;23.75856084024751;24.80720442052071;28.16331160851602;31.30023682840163;37.69394531123302;47.40882265559692;60.56223958765756;75.43115902686031;89.71364440610036;101.02756312939397
3.687545328020251e-08;21.8670286927611;22.212349763674858;22.875910707769727;22.87553222336451;23.565864841172555;22.270835965194;22.014183826006512;22.487022097068746;22.768408945372432;24.045238399043605;25.259583679813034;28.924575898082473;32.60599400766984;39.80715780854132;50.49963218534366;64.60887604482808;79.90971012193657;93.99828431022367;104.67581769097184
4.301472431583736e-08;22.00986239487223;22.357152927385172;23.020196887223218;23.019739969733234;23.713937589791662;22.42514783277719;22.180963793580577;22.67640459697049;23.003161782284664;24.37749736880137;25.782074464826216;29.79806387520309;34.08656006495035;42.15589140587978;53.83228057147807;68.79728548042286;84.32456750659458;98.01301944599801;107.9441052338489
5.017610207820406e-08;22.175936215823395;22.525514739905642;23.18795569646467;23.187401868193618;23.88608137824231;22.6045206377815;22.374775103343705;22.89636191193768;23.275525061929653;24.76218267026675;26.38458525457257;30.797738652415834;35.75821913765317;44.74881923049355;57.39021930338016;73.07624026947899;88.6122886157539;101.72182813568193;110.83999512545253
5.85297537019294e-08;22.36892848629349;22.72116326818644;23.382900913930996;23.38222674785943;24.086098433521947;22.812904353928168;22.599859048564372;23.1516490834615;23.591246762380788;25.207027704737445;27.078099949656;31.938457679338484;37.63658791752336;47.58997210643233;61.148350440613854;77.38939835598026;92.71715909372884;105.10532956472947;113.38372238472047
6.827417687944752e-08;22.593063314720133;22.948379495418067;23.609296874918027;23.608472541614546;24.318352440851726;23.05482917498091;22.861073123901484;23.447697102650967;23.956856507261296;25.720721188373826;27.874683023565737;33.235742630429584;39.73584384661264;50.67756310569372;65.07312365756572;81.6783588272656;96.59406615964485;108.1588078743097;115.60318360022589
7.964091652093227e-08;22.853178688763176;23.212066225379502;23.872026994407996;23.871014366152213;24.587837619125203;23.33547578685026;23.16396318021174;23.79068665908562;24.379738020733765;26.312960962016533;28.78743980019702;34.70543788873748;42.06780089166769;54.002925933219785;69.12332747741392;85.88599177262243;100.21002623944703;110.88927212680727;117.52992267947835
9.290006667518578e-08;23.1547984147686;23.517820834048685;24.176666079986905;24.175416260195558;24.900251287713814;23.660748733395042;23.51483772876966;24.187621806763527;24.86819586958555;26.99448651750768;29.830415987899386;36.363238565482504;44.64085863926285;57.54970736265026;73.25159942845401;89.95962312950059;103.54437101459926;113.31225025947964;119.19625389672643
1.0836668844695684e-07;23.504206220227207;23.872010158116186;24.5295547184169;24.52800482906189;25.262068052094843;24.03735077435372;23.92084180138213;24.646399951215336;25.431510722339507;27.777079667388417;31.01841834826906;38.224073621060654;47.45887625891369;61.29346265566039;77.40657117119197;93.85368397644463;106.58783207981908;115.44881215238858;120.63339829548403
1.264082964118747e-07;23.908519439517843;24.281844890322006;24.937873100473976;24.935942117818733;25.680612770122977;24.47285509807074;24.390026594464743;25.175873122553256;26.079975448387685;28.673520282159107;32.36673702187183;40.30133867042451;50.52005220961256;65.20178715109213;81.53545465198363;97.53154628555889;109.34088928833408;117.32308818994326;121.87040569121285
1.4745359141959767e-07;24.375758528314226;24.75544965787713;25.40971045674724;25.40729383658889;26.164128215273895;24.975770925450757;24.931409638383236;25.785893733878307;26.824902172986505;29.697481545141212;33.890750333927116;42.60598741549368;53.81591910529278;69.23507187123047;85.58679210895392;100.96642718876403;111.81176069054239;118.96036681187609;122.93363054813179
1.7200264729218454e-07;24.91490716858794;25.30192345415433;25.954124774256716;25.951087553300326;26.7218317924793;25.55559639324502;25.555018416683687;26.487335939614297;27.67858798866763;30.8633470939727;35.605395822282105;45.145510700596255;57.33058445759284;73.3478976600485;89.51305999703709;104.14140392406112;114.01434724310789;120.38573939648175;123.84656970415651
2.0063879347185293e-07;25.535955911930643;25.93138325343742;26.581185628794465;26.577353632073024;27.36395377042693;26.222850626341398;26.271908224465765;27.29208136335393;28.65422459060914;32.185931278903894;37.52449784774909;47.922857165139334;61.04035432689111;77.49099136213259;93.27284459110035;107.04870263983523;115.96634717425302;121.62320498709123;124.62991973090622
2.3404247597106652e-07;26.249920174191267;26.654981475166007;27.301990813124196;27.29713954471368;28.10174729311648;26.989074635597163;27.094142668636174;28.212955501951907;29.7657349797165;33.68008432450948;39.65995347456411;50.93537695179705;64.91386102515729;81.61357698459867;96.83238716727529;109.68848726846053;117.6876578310048;122.69513184158868;125.3017561787623
2.730074259858999e-07;27.068821005392717;27.484885546347293;28.12864503629411;28.122485792344346;28.94745800759811;27.866788216109114;28.034722730158684;29.263598793618243;31.027519063091198;35.36016737045201;42.02079497131939;54.173895522128376;68.91277391140218;85.6658860991935;100.16640651377347;112.06738193937444;119.1991060220089;123.6219795396449;125.87777126148099
3.1845952036783593e-07;28.005614569006926;28.4342052960978;29.074186473136663;29.06634920842265;29.914238674554444;28.869387582372173;29.10744800979873;30.458254582733375;32.4540901744663;37.239389219576424;44.6121690743086;57.622042130588966;72.99310585904509;89.60156285638197;103.2582176110193;114.1969277545063;120.5214967360337;124.42220162047204;126.37153087460335
